이름,정당명,선거구,대표 위원회,재선,당선,성별
강경숙,조국혁신당,비례대표,"교육위원회, 예산결산특별위원회",초선,제22대,여
강대식,국민의힘,대구 동구군위군을,국토교통위원회,재선,"제21대, 제22대",남
강득구,더불어민주당,경기 안양시만안구,"기후위기 특별위원회, 국토교통위원회",재선,"제21대, 제22대",남
강명구,국민의힘,경북 구미시을,행정안전위원회,초선,제22대,남
강민국,국민의힘,경남 진주시을,재정경제기획위원회,재선,"제21대, 제22대",남
강선영,국민의힘,비례대표,국방위원회,초선,제22대,여
강선우,무소속,서울 강서구갑,농림축산식품해양수산위원회,재선,"제21대, 제22대",여
강승규,국민의힘,충남 홍성군예산군,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 농림축산식품해양수산위원회",재선,"제18대, 제22대",남
강준현,더불어민주당,세종특별자치시을,정무위원회,재선,"제21대, 제22대",남
고동진,국민의힘,서울 강남구병,외교통일위원회,초선,제22대,남
고민정,더불어민주당,서울 광진구을,교육위원회,재선,"제21대, 제22대",여
곽규택,국민의힘,부산 서구동구,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 법제사법위원회",초선,제22대,남
곽상언,더불어민주당,서울 종로구,"기후에너지환경노동위원회, 성평등가족위원회",초선,제22대,남
구자근,국민의힘,경북 구미시갑,산업통상자원중소벤처기업위원회,재선,"제21대, 제22대",남
권영세,국민의힘,서울 용산구,외교통일위원회,5선,"제16대, 제17대, 제18대, 제21대, 제22대",남
권영진,국민의힘,대구 달서구병,행정안전위원회,재선,"제18대, 제22대",남
권칠승,더불어민주당,경기 화성시병,보건복지위원회,3선,"제20대, 제21대, 제22대",남
권향엽,더불어민주당,전남광주통합특별시 순천시광양시곡성군구례군을,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",초선,제22대,여
김건,국민의힘,비례대표,외교통일위원회,초선,제22대,남
김교흥,더불어민주당,인천 서구갑,"보건복지위원회, 예산결산특별위원회",3선,"제17대, 제21대, 제22대",남
김기웅,국민의힘,대구 중구남구,"국회운영위원회, 보건복지위원회",초선,제22대,남
김기표,더불어민주당,경기 부천시을,법제사법위원회,초선,제22대,남
김기현,국민의힘,울산 남구을,기후에너지환경노동위원회,5선,"제17대, 제18대, 제19대, 제21대, 제22대",남
김남국,더불어민주당,경기 안산시갑,"과학기술정보방송통신위원회, 예산결산특별위원회",재선,"제21대, 제22대",남
김남근,더불어민주당,서울 성북구을,"국토교통위원회, 성평등가족위원회, 예산결산특별위원회",초선,제22대,남
김남준,더불어민주당,인천 계양구을,"예산결산특별위원회, 재정경제기획위원회",초선,제22대,남
김남희,더불어민주당,경기 광명시을,"연금개혁 특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 법제사법위원회",초선,제22대,여
김대식,국민의힘,부산 사상구,외교통일위원회,초선,제22대,남
김도읍,국민의힘,부산 강서구,산업통상자원중소벤처기업위원회,4선,"제19대, 제20대, 제21대, 제22대",남
김동아,더불어민주당,서울 서대문구갑,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 법제사법위원회",초선,제22대,남
김문수,더불어민주당,전남광주통합특별시 순천시광양시곡성군구례군갑,교육위원회,초선,제22대,남
김미애,국민의힘,부산 해운대구을,"국토교통위원회, 국회운영위원회",재선,"제21대, 제22대",여
김민석,더불어민주당,서울 영등포구을,국방위원회,4선,"제15대, 제16대, 제21대, 제22대",남
김민전,국민의힘,비례대표,"국회운영위원회, 법제사법위원회, 예산결산특별위원회",초선,제22대,여
김병기,무소속,서울 동작구갑,국방위원회,3선,"제20대, 제21대, 제22대",남
김병주,더불어민주당,경기 남양주시을,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회",재선,"제21대, 제22대",남
김상훈,국민의힘,대구 서구,재정경제기획위원회,4선,"제19대, 제20대, 제21대, 제22대",남
김석기,국민의힘,경북 경주시,문화체육관광위원회,3선,"제20대, 제21대, 제22대",남
김선교,국민의힘,경기 여주시양평군,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 농림축산식품해양수산위원회, 예산결산특별위원회",재선,"제21대, 제22대",남
김선민,조국혁신당,비례대표,과학기술정보방송통신위원회,초선,제22대,여
김성범,더불어민주당,제주 서귀포시,농림축산식품해양수산위원회,초선,제22대,남
김성원,국민의힘,경기 동두천시양주시연천군을,산업통상자원중소벤처기업위원회,3선,"제20대, 제21대, 제22대",남
김성환,더불어민주당,서울 노원구을,재정경제기획위원회,3선,"제20대, 제21대, 제22대",남
김성회,더불어민주당,경기 고양시갑,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 기후위기 특별위원회, 국방위원회, 국회운영위원회, 예산결산특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회",초선,제22대,남
김소희,국민의힘,비례대표,"기후위기 특별위원회, 기후에너지환경노동위원회",초선,제22대,여
김승수,국민의힘,대구 북구을,"국회운영위원회, 문화체육관광위원회",재선,"제21대, 제22대",남
김승원,더불어민주당,경기 수원시갑,법제사법위원회,재선,"제21대, 제22대",남
김영배,더불어민주당,서울 성북구갑,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 행정안전위원회",재선,"제21대, 제22대",남
김영진,더불어민주당,경기 수원시병,행정안전위원회,3선,"제20대, 제21대, 제22대",남
김영호,더불어민주당,서울 서대문구을,행정안전위원회,3선,"제20대, 제21대, 제22대",남
김영환,더불어민주당,경기 고양시정,재정경제기획위원회,초선,제22대,남
김예지,국민의힘,비례대표,행정안전위원회,재선,"제21대, 제22대",여
김용만,더불어민주당,경기 하남시을,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 정무위원회",초선,제22대,남
김용민,더불어민주당,경기 남양주시병,법제사법위원회,재선,"제21대, 제22대",남
김용태,국민의힘,경기 포천시가평군,"연금개혁 특별위원회, 기후위기 특별위원회, 농림축산식품해양수산위원회",초선,제22대,남
김우영,더불어민주당,서울 은평구을,과학기술정보방송통신위원회,초선,제22대,남
김원이,더불어민주당,전남광주통합특별시 목포시,"기후위기 특별위원회, 산업통상자원중소벤처기업위원회",재선,"제21대, 제22대",남
김위상,국민의힘,비례대표,기후에너지환경노동위원회,초선,제22대,남
김윤,더불어민주당,비례대표,"국회운영위원회, 보건복지위원회",초선,제22대,남
김윤덕,더불어민주당,전북 전주시갑,문화체육관광위원회,3선,"제19대, 제21대, 제22대",남
김은혜,국민의힘,경기 성남시분당구을,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 국토교통위원회",재선,"제21대, 제22대",여
김의겸,더불어민주당,전북 군산시김제시부안군갑,산업통상자원중소벤처기업위원회,재선,"제21대, 제22대",남
김장겸,국민의힘,비례대표,과학기술정보방송통신위원회,초선,제22대,남
김재섭,국민의힘,서울 도봉구갑,"연금개혁 특별위원회, 정무위원회",초선,제22대,남
김재원,조국혁신당,비례대표,문화체육관광위원회,초선,제22대,여
김정재,국민의힘,경북 포항시북구,국토교통위원회,3선,"제20대, 제21대, 제22대",여
김정호,더불어민주당,경남 김해시을,"기후위기 특별위원회, 기후에너지환경노동위원회",3선,"제20대, 제21대, 제22대",남
김종민,무소속,세종특별자치시갑,산업통상자원중소벤처기업위원회,3선,"제20대, 제21대, 제22대",남
김종양,국민의힘,경남 창원시의창구,국토교통위원회,초선,제22대,남
김주영,더불어민주당,경기 김포시갑,기후에너지환경노동위원회,재선,"제21대, 제22대",남
김준혁,더불어민주당,경기 수원시정,교육위원회,초선,제22대,남
김준형,조국혁신당,비례대표,"국회운영위원회, 외교통일위원회",초선,제22대,남
김준환,더불어민주당,비례대표,외교통일위원회,초선,제22대,남
김태규,국민의힘,울산 남구갑,"국회운영위원회, 법제사법위원회, 예산결산특별위원회",초선,제22대,남
김태년,더불어민주당,경기 성남시수정구,재정경제기획위원회,5선,"제17대, 제19대, 제20대, 제21대, 제22대",남
김태선,더불어민주당,울산 동구,기후에너지환경노동위원회,초선,제22대,남
김태호,국민의힘,경남 양산시을,보건복지위원회,4선,"제18대, 제19대, 제21대, 제22대",남
김한규,더불어민주당,제주 제주시을,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 국회운영위원회, 법제사법위원회",재선,"제21대, 제22대",남
김현,더불어민주당,경기 안산시을,"과학기술정보방송통신위원회, 예산결산특별위원회",재선,"제19대, 제22대",여
김현정,더불어민주당,경기 평택시병 ,정무위원회,초선,제22대,남
김형동,국민의힘,경북 안동시예천군,기후에너지환경노동위원회,재선,"제21대, 제22대",남
김희정,국민의힘,부산 연제구,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 교육위원회",3선,"제17대, 제19대, 제22대",여
나경원,국민의힘,서울 동작구을,"기후에너지환경노동위원회, 예산결산특별위원회",5선,"제17대, 제18대, 제19대, 제20대, 제22대",여
남인순,더불어민주당,서울 송파구병,"연금개혁 특별위원회, 보건복지위원회",4선,"제19대, 제20대, 제21대, 제22대",여
노종면,더불어민주당,인천 부평구갑,문화체육관광위원회,초선,제22대,남
맹성규,더불어민주당,인천 남동구갑,외교통일위원회,3선,"제20대, 제21대, 제22대",남
모경종,더불어민주당,인천 서구병,"연금개혁 특별위원회, 국토교통위원회",초선,제22대,남
문금주,더불어민주당,전남광주통합특별시 고흥군보성군장흥군강진군,"국회운영위원회, 농림축산식품해양수산위원회",초선,제22대,남
문대림,더불어민주당,제주 제주시갑,"농림축산식품해양수산위원회, 예산결산특별위원회",초선,제22대,남
문정복,더불어민주당,경기 시흥시갑,국토교통위원회,재선,"제21대, 제22대",여
문진석,더불어민주당,충남 천안시갑,재정경제기획위원회,재선,"제21대, 제22대",남
민병덕,더불어민주당,경기 안양시동안구갑,정무위원회,재선,"제21대, 제22대",남
민홍철,더불어민주당,경남 김해시갑,국방위원회,4선,"제19대, 제20대, 제21대, 제22대",남
박균택,더불어민주당,전남광주통합특별시 광산구갑,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 국회운영위원회, 법제사법위원회",초선,제22대,남
박대출,국민의힘,경남 진주시갑,정무위원회,4선,"제19대, 제20대, 제21대, 제22대",남
박덕흠,국민의힘,충북 보은군옥천군영동군괴산군,행정안전위원회,4선,"제19대, 제20대, 제21대, 제22대",남
박민규,더불어민주당,서울 관악구갑,정무위원회,초선,제22대,남
박범계,더불어민주당,대전 서구을,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 교육위원회",4선,"제19대, 제20대, 제21대, 제22대",남
박상웅,국민의힘,경남 밀양시의령군함안군창녕군,"예산결산특별위원회, 행정안전위원회",초선,제22대,남
박상혁,더불어민주당,경기 김포시을,정무위원회,재선,"제21대, 제22대",남
박선원,더불어민주당,인천 부평구을,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 국방위원회, 국회운영위원회, 정보위원회",초선,제22대,남
박성민,국민의힘,울산 중구,산업통상자원중소벤처기업위원회,재선,"제21대, 제22대",남
박성준,더불어민주당,서울 중구성동구을,"예산결산특별위원회, 외교통일위원회",재선,"제21대, 제22대",남
박성훈,국민의힘,부산 북구을,정무위원회,초선,제22대,남
박수민,국민의힘,서울 강남구을,"연금개혁 특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 기후에너지환경노동위원회",초선,제22대,남
박수영,국민의힘,부산 남구,"재정경제기획위원회, 예산결산특별위원회",재선,"제21대, 제22대",남
박용갑,더불어민주당,대전 중구,"보건복지위원회, 예산결산특별위원회",초선,제22대,남
박은정,조국혁신당,비례대표,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 법제사법위원회",초선,제22대,여
박정,더불어민주당,경기 파주시을,기후에너지환경노동위원회,3선,"제20대, 제21대, 제22대",남
박정하,국민의힘,강원 원주시갑,"과학기술정보방송통신위원회, 예산결산특별위원회",재선,"제21대, 제22대",남
박정현,더불어민주당,대전 대덕구,"기후위기 특별위원회, 국회운영위원회, 외교통일위원회",초선,제22대,여
박정훈,국민의힘,서울 송파구갑,교육위원회,초선,제22대,남
박주민,더불어민주당,서울 은평구갑,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 행정안전위원회",3선,"제20대, 제21대, 제22대",남
박준태,국민의힘,비례대표,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 정무위원회",초선,제22대,남
박지원,더불어민주당,전북 군산시김제시부안군을,"보건복지위원회, 예산결산특별위원회",초선,제22대,남
박지원,더불어민주당,전남광주통합특별시 해남군완도군진도군,"법제사법위원회, 정보위원회",5선,"제14대, 제18대, 제19대, 제20대, 제22대",남
박지혜,더불어민주당,경기 의정부시갑,"기후위기 특별위원회, 기후에너지환경노동위원회, 성평등가족위원회",초선,제22대,여
박충권,국민의힘,비례대표,"국회운영위원회, 외교통일위원회",초선,제22대,남
박해철,더불어민주당,경기 안산시병,기후에너지환경노동위원회,초선,제22대,남
박형수,국민의힘,경북 의성군청송군영덕군울진군,법제사법위원회,재선,"제21대, 제22대",남
박홍근,더불어민주당,서울 중랑구을,행정안전위원회,4선,"제19대, 제20대, 제21대, 제22대",남
박홍배,더불어민주당,비례대표,"연금개혁 특별위원회, 정무위원회",초선,제22대,남
박희승,더불어민주당,전북 남원시장수군임실군순창군,산업통상자원중소벤처기업위원회,초선,제22대,남
배준영,국민의힘,인천 중구강화군옹진군,"예산결산특별위원회, 재정경제기획위원회",재선,"제21대, 제22대",남
배현진,국민의힘,서울 송파구을,문화체육관광위원회,재선,"제21대, 제22대",여
백선희,조국혁신당,비례대표,"보건복지위원회, 예산결산특별위원회",초선,제22대,여
백승아,더불어민주당,비례대표,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 교육위원회",초선,제22대,여
백종헌,국민의힘,부산 금정구,보건복지위원회,재선,"제21대, 제22대",남
백혜련,더불어민주당,경기 수원시을,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 산업통상자원중소벤처기업위원회, 성평등가족위원회, 정보위원회",3선,"제20대, 제21대, 제22대",여
복기왕,더불어민주당,충남 아산시갑,국토교통위원회,재선,"제17대, 제22대",남
부승찬,더불어민주당,경기 용인시병,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국토교통위원회",초선,제22대,남
서명옥,국민의힘,서울 강남구갑,행정안전위원회,초선,제22대,여
서미화,더불어민주당,비례대표,"국회운영위원회, 보건복지위원회",초선,제22대,여
서범수,국민의힘,울산 울주군,"기후위기 특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 교육위원회",재선,"제21대, 제22대",남
서삼석,더불어민주당,전남광주통합특별시 영암군무안군신안군,농림축산식품해양수산위원회,3선,"제20대, 제21대, 제22대",남
서영교,더불어민주당,서울 중랑구갑,법제사법위원회,4선,"제19대, 제20대, 제21대, 제22대",여
서영석,더불어민주당,경기 부천시갑,보건복지위원회,재선,"제21대, 제22대",남
서왕진,조국혁신당,비례대표,"기후위기 특별위원회, 기후에너지환경노동위원회",초선,제22대,남
서일준,국민의힘,경남 거제시,정무위원회,재선,"제21대, 제22대",남
서지영,국민의힘,부산 동래구,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",초선,제22대,여
서천호,국민의힘,경남 사천시남해군하동군,"과학기술정보방송통신위원회, 정보위원회",초선,제22대,남
성일종,국민의힘,충남 서산시태안군,국방위원회,3선,"제20대, 제21대, 제22대",남
소병훈,더불어민주당,경기 광주시갑,보건복지위원회,3선,"제20대, 제21대, 제22대",남
손명수,더불어민주당,경기 용인시을,정무위원회,초선,제22대,남
손솔,진보당,비례대표,"법제사법위원회, 성평등가족위원회",초선,제22대,여
송기헌,더불어민주당,강원 원주시을,과학기술정보방송통신위원회,3선,"제20대, 제21대, 제22대",남
송석준,국민의힘,경기 이천시,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 외교통일위원회",3선,"제20대, 제21대, 제22대",남
송언석,국민의힘,경북 김천시,"예산결산특별위원회, 정무위원회",3선,"제20대, 제21대, 제22대",남
송영길,더불어민주당,인천 연수구갑,국방위원회,6선,"제16대, 제17대, 제18대, 제20대, 제21대, 제22대",남
송옥주,더불어민주당,경기 화성시갑,농림축산식품해양수산위원회,3선,"제20대, 제21대, 제22대",여
송재봉,더불어민주당,충북 청주시청원구,"기후위기 특별위원회, 산업통상자원중소벤처기업위원회, 예산결산특별위원회",초선,제22대,남
